Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,21361.580078,21556.689453,21288.900391,21540.990234,21540.990234,75700
2019-08-02,21211.060547,21211.060547,20960.089844,21087.160156,21087.160156,91500
2019-08-05,20909.980469,20941.830078,20514.189453,20720.289063,20720.289063,85800
2019-08-06,20325.519531,20607.830078,20110.759766,20585.310547,20585.310547,89700
2019-08-07,20548.070313,20570.189453,20406.519531,20516.560547,20516.560547,73600
2019-08-08,20529.289063,20682.240234,20462.980469,20593.349609,20593.349609,64800
2019-08-09,20758.150391,20782.060547,20676.919922,20684.820313,20684.820313,63700
2019-08-13,20432.679688,20503.380859,20369.269531,20455.439453,20455.439453,72900
2019-08-14,20669.990234,20697.419922,20581.169922,20655.130859,20655.130859,60900
2019-08-15,20324.250000,20419.880859,20184.849609,20405.650391,20405.650391,68200
2019-08-16,20323.970703,20465.710938,20300.349609,20418.810547,20418.810547,58400
2019-08-19,20590.470703,20633.900391,20502.660156,20563.160156,20563.160156,50600
2019-08-20,20605.349609,20684.060547,20582.009766,20677.220703,20677.220703,50100
2019-08-21,20489.970703,20626.050781,20482.619141,20618.570313,20618.570313,53000
2019-08-22,20706.070313,20731.189453,20584.289063,20628.009766,20628.009766,54600
2019-08-23,20579.980469,20719.310547,20579.980469,20710.910156,20710.910156,50700
2019-08-26,20325.439453,20329.009766,20173.759766,20261.039063,20261.039063,69900
2019-08-27,20467.220703,20529.939453,20439.919922,20456.080078,20456.080078,60800
2019-08-28,20474.310547,20511.210938,20433.310547,20479.419922,20479.419922,51500
2019-08-29,20500.500000,20520.679688,20361.119141,20460.929688,20460.929688,55100
2019-08-30,20641.490234,20748.349609,20633.300781,20704.369141,20704.369141,72000
2019-09-02,20625.750000,20667.560547,20614.289063,20620.189453,20620.189453,42400
2019-09-03,20581.580078,20662.230469,20578.019531,20625.160156,20625.160156,0
2019-09-04,20578.669922,20694.349609,20554.160156,20649.140625,20649.140625,51500
2019-09-05,20800.289063,21164.609375,20787.929688,21085.939453,21085.939453,83000
2019-09-06,21201.830078,21241.289063,21145.810547,21199.570313,21199.570313,71100
2019-09-09,21214.560547,21333.509766,21182.259766,21318.419922,21318.419922,57800
2019-09-10,21363.570313,21438.349609,21350.349609,21392.099609,21392.099609,92400
2019-09-11,21466.660156,21619.210938,21437.820313,21597.759766,21597.759766,110100
2019-09-12,21761.089844,21825.919922,21743.960938,21759.609375,21759.609375,96000
2019-09-13,21907.830078,22019.660156,21820.939453,21988.289063,21988.289063,116300
2019-09-17,21947.589844,22041.080078,21878.630859,22001.320313,22001.320313,81500
2019-09-18,22014.650391,22027.859375,21942.029297,21960.710938,21960.710938,69400
2019-09-19,22064.460938,22255.560547,22003.300781,22044.449219,22044.449219,78200
2019-09-20,22130.740234,22204.750000,22047.900391,22079.089844,22079.089844,85000
2019-09-24,22095.349609,22168.740234,22077.939453,22098.839844,22098.839844,68400
2019-09-25,21961.820313,22036.480469,21906.000000,22020.150391,22020.150391,61600
2019-09-26,22160.519531,22184.910156,21986.240234,22048.240234,22048.240234,81600
2019-09-27,21934.929688,21955.789063,21733.689453,21878.900391,21878.900391,76400
2019-09-30,21793.830078,21811.980469,21666.599609,21755.839844,21755.839844,69900
2019-10-01,21831.439453,21938.769531,21811.980469,21885.240234,21885.240234,62300
2019-10-02,21744.619141,21795.009766,21725.230469,21778.609375,21778.609375,63300
2019-10-03,21422.220703,21437.740234,21277.359375,21341.740234,21341.740234,67700
2019-10-04,21316.179688,21410.199219,21276.009766,21410.199219,21410.199219,57700
2019-10-07,21445.730469,21475.279297,21328.259766,21375.250000,21375.250000,47400
2019-10-08,21494.480469,21629.240234,21483.179688,21587.779297,21587.779297,60800
2019-10-09,21359.839844,21467.769531,21359.839844,21456.380859,21456.380859,55400
2019-10-10,21456.269531,21601.460938,21308.880859,21551.980469,21551.980469,59900
2019-10-11,21749.929688,21820.769531,21658.269531,21798.869141,21798.869141,67400
2019-10-15,22063.710938,22219.630859,22049.710938,22207.210938,22207.210938,74500
2019-10-16,22479.570313,22615.470703,22434.349609,22472.919922,22472.919922,78700
2019-10-17,22451.150391,22522.390625,22424.919922,22451.859375,22451.859375,57800
2019-10-18,22528.560547,22649.849609,22466.259766,22492.679688,22492.679688,59200
2019-10-21,22541.220703,22581.279297,22515.730469,22548.900391,22548.900391,48400
2019-10-23,22619.769531,22648.810547,22457.890625,22625.380859,22625.380859,68000
